Threshold (dB SPL): 15.0
Frequency (kHz): 16.00
Filter history (zpk format):
Pass 0 -- z: array([ 1., -1.]), p: array([ 0.9934729 ,  0.73615843]), k: 0.13432327438619873
NOTE: Negative latencies indicate no peak
Level	1msec Avg	1msec StDev	P1 Latency	P1 Amplitude	N1 Latency	N1 Amplitude	P2 Latency	P2 Amplitude	N2 Latency	N2 Amplitude	P3 Latency	P3 Amplitude	N3 Latency	N3 Amplitude	P4 Latency	P4 Amplitude	N4 Latency	N4 Amplitude	P5 Latency	P5 Amplitude	N5 Latency	N5 Amplitude	
80.00	0.338461	0.376819	1.19	2.13	1.67	-1.59	2.07	2.19	2.45	-2.61	2.85	2.94	3.28	-3.27	3.97	2.08	4.58	-1.72	5.17	1.37	5.77	-1.54
70.00	-0.039283	0.265919	1.24	1.77	1.67	-1.10	2.09	2.03	2.49	-2.19	2.88	1.92	3.29	-2.59	3.97	1.48	4.60	-1.07	5.25	1.73	5.81	-1.31
60.00	0.219199	0.213132	1.27	1.28	1.77	-1.27	2.14	1.63	2.54	-2.01	2.91	1.27	3.37	-1.85	4.05	1.30	4.66	-0.95	5.28	1.43	5.87	-0.87
50.00	-0.153160	0.150643	1.36	0.95	1.79	-0.50	2.22	1.41	2.64	-0.87	2.99	0.84	3.43	-1.29	4.04	0.65	4.66	-1.04	5.36	0.87	5.98	-0.72
45.00	-0.033873	0.093387	1.36	0.42	1.83	-0.79	2.25	0.93	2.70	-0.56	3.04	0.63	3.49	-0.56	4.10	0.98	4.77	-0.90	5.51	0.42	6.08	-0.50
40.00	-0.141950	0.111125	1.44	0.40	1.82	-0.43	2.31	0.66	2.75	-0.52	3.03	0.24	3.55	-0.52	4.10	0.42	4.93	-0.48	5.66	0.31	6.11	-0.15
35.00	-0.081308	0.068716	1.43	0.43	1.93	-0.31	2.32	0.56	2.80	-0.28	3.07	0.08	3.55	-0.42	4.31	0.62	5.03	-0.26	5.80	0.26	6.38	-0.33
30.00	-0.034556	0.050533	1.57	0.45	2.05	-0.29	2.42	0.31	2.89	-0.24	3.16	0.18	3.67	-0.49	4.36	0.51	5.18	-0.27	6.05	0.27	6.67	-0.17
25.00	-0.134006	0.043875	1.68	0.28	2.08	-0.18	2.53	0.24	3.04	0.10	3.24	0.24	3.71	-0.28	4.42	0.36	5.17	-0.25	5.84	0.22	6.87	-0.32
20.00	0.101546	0.044928	1.79	-0.06	2.12	-0.42	2.63	-0.01	3.02	-0.17	3.40	0.17	3.88	-0.26	4.72	0.11	5.32	-0.31	5.93	0.21	6.94	-0.37
15.00	0.012934	0.113117	1.79	0.04	2.47	-0.19	2.63	-0.03	3.14	-0.09	3.58	0.34	4.36	0.13	4.72	0.15	5.57	-0.11	5.93	-0.10	7.02	0.06
10.00	-0.071581	0.074487	-2.07	0.37	-2.47	0.25	-2.63	0.31	-3.27	0.03	-3.61	0.28	-4.56	-0.08	-4.72	0.05	-5.57	-0.08	-6.40	0.11	-6.93	-0.14
