Threshold (dB SPL): None
Frequency (kHz): 16.00
Filter history (zpk format):
Pass 0 -- z: array([ 1.+0.j, -1.+0.j]), p: array([ 0.99347290+0.j,  0.73615843+0.j]), k: 0.1343232743861987
NOTE: Negative latencies indicate no peak
Level	1msec Avg	1msec StDev	P1 Latency	P1 Amplitude	N1 Latency	N1 Amplitude	
80.00	6.233809	8.284482	1.79000000	68.33363345	2.32000000	-43.13915799
70.00	3.866307	4.887198	1.84000000	50.49495495	2.39000000	-31.35767231
60.00	1.745355	2.864515	1.87000000	34.39109858	2.43000000	-20.89505429
50.00	0.840984	1.442674	1.94000000	25.14812227	2.50000000	-14.83425553
40.00	0.047077	0.577361	2.05000000	16.18823728	2.62000000	-8.85845068
35.00	0.289796	0.320974	2.13000000	11.04726667	2.70000000	-6.52660131
30.00	0.326084	0.262177	2.23000000	6.74287653	2.84000000	-3.36023265
25.00	0.230445	0.126448	2.36000000	2.60027201	3.01000000	-0.76642932
20.00	-0.145383	0.171634	2.43000000	0.51416264	3.23000000	-0.59283367
15.00	0.006720	0.325301	2.33000000	0.36012492	3.02000000	-0.44491685
10.00	-0.061136	0.153390	2.67000000	0.15603091	3.30000000	-0.35201761
5.00	0.211814	0.099277	2.84000000	0.02865333	3.21000000	-0.33709394
0.00	0.136316	0.117117	2.84000000	0.41149853	3.21000000	-0.02312896
